county14,cntyname2,intptlon,intptlat
17065,Hamilton IL,-88.557768,38.092157
17067,Hancock IL,-91.203125,40.425726
17069,Hardin IL,-88.29056,37.478453
17071,Henderson IL,-90.944746,40.828841
17073,Henry IL,-90.134909,41.348783
17075,Iroquois IL,-87.83435,40.763597
17077,Jackson IL,-89.274067,37.747793
17079,Jasper IL,-88.159891,39.003765
17081,Jefferson IL,-88.910812,38.308488
17083,Jersey IL,-90.320421,39.072863
17085,Jo Daviess IL,-90.306061,42.411324
17087,Johnson IL,-88.882379,37.474559
17089,Kane IL,-88.331261,41.918112
17091,Kankakee IL,-87.850856,41.148582
17093,Kendall IL,-88.379062,41.663724
17095,Knox IL,-90.328603,40.937033
17097,Lake IL,-87.969467,42.313072
17099,La Salle IL,-88.895983,41.350799
17101,Lawrence IL,-87.748329,38.718292
17103,Lee IL,-89.398295,41.810243
17105,Livingston IL,-88.57323,40.907044
17107,Logan IL,-89.36152,40.140775
17109,McDonough IL,-90.669316,40.469473
17111,McHenry IL,-88.349891,42.271472
